source,target,type
Kiau Technologies,Soil Health Monitoring,null
Kiau Technologies,Waste Mitigation,null
Kiau Technologies,Mycomaterials,null
Kiau Technologies, PBC's, null
Kiau Technologies, Design Thinking, null
Soil Health Monitoring,Myco-sensors,null
Soil Health Monitoring,Soil Remediation,null
Myco-sensors,Mycomaterials,null
Mycomaterials,Soil Remediation,null
Mycomaterials, "Mottai-nai", null
Polymer Research,Soil Remediation,null
"Mottai-nai",Small-Scale Biochar Reactors,null
"Mottai-nai",Local Plastic Recycling,null
Small-Scale Biochar Reactors,Local Plastic Recycling,null
Soil Remediation,Urban Composting Tech,null
"Mottai-nai",Urban Composting Tech,null
"Mottai-nai", E-Waste Projects, null

